workstream,task,priority,status,percent_complete,last_updated,notes
Workstream A,"formalize page object graph with scope stack (BMO/EMO, resource begin/end scopes)",High,Complete,100,2026-02-18,"Implemented deterministic object model and scope tracking in native renderer."
Workstream A,implement deterministic paint order per AFP semantics,High,Complete,100,2026-02-18,"Single ordered paint stream and base/overlay pass execution in place."
Workstream A,"complete graphics object rendering beyond placeholders (rules, boxes, strokes/fills)",High,In Progress,70,2026-02-18,"Core line/box primitives implemented; additional AFP graphics semantics still pending."
Workstream A,finalize image object placement with clipping and orientation transforms,High,In Progress,98,2026-02-18,"Orientation-aware transforms and clipping implemented; synthetic fallback removed, placeholders gated by image evidence, image-object counting tightened to BIM/EIM, embedded image resolution now requires explicit AFPLib token overlap between BIM and BOC/EOC resources, draw-path prefers resource-resolved images before raw decode, selection policy runs through ImageResolutionService, and render-time resource selection is now strict per-image-index (no cross-index fallback bleed)."
Workstream B,"coded font resolution from AFP resources (CFI + resource objects)",High,In Progress,75,2026-02-18,"Scoped CFI resolution implemented; sample path gaps remain due missing SCFL/CFI visibility."
Workstream B,code page mapping matrix with SBCS/DBCS mixed-run handling,High,In Progress,80,2026-02-18,"Mixed run decode and mapping diagnostics implemented; further parity tuning required."
Workstream B,metric-compatible substitutions and kerning/advance tuning,High,In Progress,65,2026-02-18,"Initial metric/spacing tuning added; still significant visual drift vs IBM sample."
Workstream B,remove broad semantic replacement and keep low-signal run-level fallback only,High,In Progress,90,2026-02-18,"Fallback narrowed substantially; some safeguards remain while PTX decode gaps persist."
Workstream C,implement IOCA decoding adapters for common AFP image variants,Medium,In Progress,80,2026-02-18,"Common signature-based and raw fallback paths available; coverage not exhaustive."
Workstream C,add validation/fallback pipeline with confidence scoring and diagnostics,Medium,Complete,100,2026-02-18,"Image decode confidence and fallback diagnostics emitted in meta/diag outputs; raw-candidate classification filters structured UTF-16-like payloads and now reports descriptor payload counts/resource hints."
Workstream C,add per-format decode tests from real sample corpus,Medium,In Progress,75,2026-02-18,"Per-format tests added and image-heavy sample included; corpus expansion remains."
Workstream D,API additions for render/fidelity/resource policies,Medium,Complete,100,2026-02-18,"RenderPolicy and DiagnosticsPolicy added and wired through conversion options."
Workstream D,CLI flags and help/docs,Medium,Complete,100,2026-02-18,"Render and diagnostics flags exposed and documented."
Workstream D,richer diag.json and metadata sections for render traceability,Medium,In Progress,94,2026-02-18,"Font/image/resource/print-centric trace diagnostics added; image binding diagnostics now include per-page BIM/candidate/overlap tokens plus candidate payload size and byte-prefix evidence, with explicit image render-path decisions (embedded/resource/raw/unresolved)."
Workstream E,"build corpus matrix (forms, statements, mixed-language, heavy overlays)",Medium,In Progress,60,2026-02-18,"Current corpus has limited coverage and needs broader document diversity."
Workstream E,per-feature integration tests,Medium,In Progress,70,2026-02-18,"Strong test base exists; additional parity-focused regression slices still required."
Workstream E,"CI gates with artifact publishing (fidelity-report.json, diff images, diagnostics)",Medium,Complete,100,2026-02-18,"qualityGate and publishCiArtifacts are active and passing."
Workstream F,implement dedicated print-centric byte-walk engine separate from native renderer,High,Complete,100,2026-02-18,"AfpPrintCentricTraceEngine established and integrated."
Workstream F,"emit sequential token trace (structured fields, PTX control codes, per-byte evidence)",High,Complete,100,2026-02-18,"Trace events, SF/PTX histograms, and byte histogram are emitted."
Workstream F,add AFP-token to output-token cross-examination report,High,In Progress,97,2026-02-18,"Added operand-level PDF text operator traces, normalized PTX/alias histograms, cross-exam inference hints, and BIM/BOC/EOC timeline slices with inferred binding pairs."
Workstream F,use trace findings to back-port proven control-code handling into native renderer,High,In Progress,93,2026-02-18,"Extended PTX alias normalization and image evidence diagnostics, filtered non-raster BIM payloads, switched to deterministic matching, surfaced token+payload binding evidence (sample shows JPEG candidate payload with zero BIM token overlap), implemented evidence-driven resource-first image selection with dedicated image-resolution policy service, and added confidence-aware embedded-resource matching (token/sequence/size heuristics) with strict per-object fallback behavior."
Workstream E,stand up SQLite-backed workflow state stores for project and boilerplate automation,High,Complete,100,2026-02-18,"Added dedicated project-state and boilerplate-state SQLite databases with Gradle task integration; workflow JSON/reporting outputs now route through pm-tools database tooling."
Workstream E,add governance-breach notification and trust-grant logging to database-backed mechanics,High,Complete,100,2026-02-18,"Governance alerts now emit from project-state SQLite and constitutional policy requires human-visible breach reporting plus trust-event logging through governance CSV/DB sync."
Workstream E,add database-backed file-discipline and mirrored VCS ledger reporting,High,Complete,100,2026-02-18,"Project-state SQLite now captures Git head/branch/dirty summary and per-path file discipline inventory; build publishes pm/reports/version-control-ledger.json for auditable governance workflows."
Workstream E,enforce hard product-management module boundaries in build quality gate,High,Complete,100,2026-02-18,"Added `enforceProjectBoundaries` and wired it into `qualityGate`; product modules now fail verification if they reference pm-tools classes or project-management state sources."
Workstream E,enforce managed-tooling registration discipline in build quality gate,High,Complete,100,2026-02-18,"Added constitutional managed-tooling rule and `enforceManagedTooling` gate; untracked workflow tooling under `tools/` or `pm-tools/.../tools` now fails quality verification."
Workstream G,stand up realm-local decision logs with granular scope for reasoning context,High,In Progress,75,2026-02-19,"Added SQL schema and upsert/link commands for decision_log and decision_dependency in realm DBs."
Workstream G,export cross-realm decision priority queue from SQL impact scoring,High,In Progress,70,2026-02-19,"Added export command and Gradle decisionPriorityReport task for pm/reports/decision-priority-queue.json."
