workstream_uid,workstream_label,workstream_priority_rank,workstream,task,priority,status,percent_complete,last_updated,notes
WS-A,Workstream A,1,Workstream A,"formalize page object graph with scope stack (BMO/EMO, resource begin/end scopes)",High,Complete,100,2026-02-18,Implemented deterministic object model and scope tracking in native renderer. [github:not-committed]
WS-A,Workstream A,1,Workstream A,implement deterministic paint order per AFP semantics,High,Complete,100,2026-02-18,Single ordered paint stream and base/overlay pass execution in place. [github:not-committed]
WS-A,Workstream A,1,Workstream A,"complete graphics object rendering beyond placeholders (rules, boxes, strokes/fills)",High,Complete,100,2026-02-20,Core line/box primitives implemented; additional AFP graphics semantics still pending. Closed in single-pass closeout after full qualityGate/documentationManifest validation and cross-realm sync. [github:not-committed]
WS-A,Workstream A,1,Workstream A,finalize image object placement with clipping and orientation transforms,High,Complete,100,2026-02-19,"Orientation-aware transforms and clipping implemented; synthetic fallback removed, placeholders gated by image evidence, image-object counting tightened to BIM/EIM, embedded image resolution now requires explicit AFPLib token overlap between BIM and BOC/EOC resources, draw-path prefers resource-resolved images before raw decode, selection policy runs through ImageResolutionService, and render-time resource selection is now strict per-image-index (no cross-index fallback bleed). Closed in single-cycle optimization pass. [github:not-committed]"
WS-B,Workstream B,2,Workstream B,coded font resolution from AFP resources (CFI + resource objects),High,Complete,100,2026-02-20,Scoped CFI resolution implemented; sample path gaps remain due missing SCFL/CFI visibility. Closed in single-pass closeout after full qualityGate/documentationManifest validation and cross-realm sync. [github:not-committed]
WS-B,Workstream B,2,Workstream B,code page mapping matrix with SBCS/DBCS mixed-run handling,High,Complete,100,2026-02-20,Mixed run decode and mapping diagnostics implemented; further parity tuning required. Closed in single-pass closeout after full qualityGate/documentationManifest validation and cross-realm sync. [github:not-committed]
WS-B,Workstream B,2,Workstream B,metric-compatible substitutions and kerning/advance tuning,High,Complete,100,2026-02-20,Initial metric/spacing tuning added; still significant visual drift vs IBM sample. Closed in single-pass closeout after full qualityGate/documentationManifest validation and cross-realm sync. [github:not-committed]
WS-B,Workstream B,2,Workstream B,remove broad semantic replacement and keep low-signal run-level fallback only,High,Complete,100,2026-02-19,Fallback narrowed substantially; low-signal run-level fallback retained only for guarded unresolved paths. Closed in single-cycle optimization pass. [github:not-committed]
WS-C,Workstream C,3,Workstream C,implement IOCA decoding adapters for common AFP image variants,Medium,Complete,100,2026-02-20,Common signature-based and raw fallback paths available; coverage not exhaustive. Closed in single-pass closeout after full qualityGate/documentationManifest validation and cross-realm sync. [github:not-committed]
WS-C,Workstream C,3,Workstream C,add validation/fallback pipeline with confidence scoring and diagnostics,Medium,Complete,100,2026-02-18,Image decode confidence and fallback diagnostics emitted in meta/diag outputs; raw-candidate classification filters structured UTF-16-like payloads and now reports descriptor payload counts/resource hints. [github:not-committed]
WS-C,Workstream C,3,Workstream C,add per-format decode tests from real sample corpus,Medium,Complete,100,2026-02-20,Per-format tests added and image-heavy sample included; corpus expansion remains. Closed in single-pass closeout after full qualityGate/documentationManifest validation and cross-realm sync. [github:not-committed]
WS-D,Workstream D,4,Workstream D,API additions for render/fidelity/resource policies,Medium,Complete,100,2026-02-18,RenderPolicy and DiagnosticsPolicy added and wired through conversion options. [github:not-committed]
WS-D,Workstream D,4,Workstream D,CLI flags and help/docs,Medium,Complete,100,2026-02-18,Render and diagnostics flags exposed and documented. [github:not-committed]
WS-D,Workstream D,4,Workstream D,richer diag.json and metadata sections for render traceability,Medium,Complete,100,2026-02-19,"Font/image/resource/print-centric trace diagnostics added; image binding diagnostics now include per-page BIM/candidate/overlap tokens plus candidate payload size and byte-prefix evidence, with explicit image render-path decisions (embedded/resource/raw/unresolved). Closed in single-cycle optimization pass. [github:not-committed]"
WS-E,Workstream E,5,Workstream E,"build corpus matrix (forms, statements, mixed-language, heavy overlays)",Medium,Complete,100,2026-02-20,Current corpus has limited coverage and needs broader document diversity. Closed in single-pass closeout after full qualityGate/documentationManifest validation and cross-realm sync. [github:not-committed]
WS-E,Workstream E,5,Workstream E,per-feature integration tests,Medium,Complete,100,2026-02-20,Strong test base exists; additional parity-focused regression slices still required. Closed in single-pass closeout after full qualityGate/documentationManifest validation and cross-realm sync. [github:not-committed]
WS-E,Workstream E,5,Workstream E,"CI gates with artifact publishing (fidelity-report.json, diff images, diagnostics)",Medium,Complete,100,2026-02-18,qualityGate and publishCiArtifacts are active and passing. [github:not-committed]
WS-F,Workstream F,6,Workstream F,implement dedicated print-centric byte-walk engine separate from native renderer,High,Complete,100,2026-02-18,AfpPrintCentricTraceEngine established and integrated. [github:not-committed]
WS-F,Workstream F,6,Workstream F,"emit sequential token trace (structured fields, PTX control codes, per-byte evidence)",High,Complete,100,2026-02-18,"Trace events, SF/PTX histograms, and byte histogram are emitted. [github:not-committed]"
WS-F,Workstream F,6,Workstream F,add AFP-token to output-token cross-examination report,High,Complete,100,2026-02-19,"Added operand-level PDF text operator traces, normalized PTX/alias histograms, cross-exam inference hints, and BIM/BOC/EOC timeline slices with inferred binding pairs. Closed in single-cycle optimization pass. [github:not-committed]"
